questionText,answerText,category
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years ive never had counseling about any of this do i have too many issues to address in counseling,it is very common for people to have multiple issues that they want to and need to address in counseling i have had clients ask that same question and through more exploration there is often an underlying fear that they cant be helped or that they will be too much for their therapist i dont know if any of this rings true for you but most people have more than one problem in their lives and more often than not people have numerous significant stressors in their lives lets face it life can be complicated therapists are completely ready and equipped to handle all of the issues small or large that a client presents in session most therapists over the first couple of sessions will help you prioritize the issues you are facing so that you start addressing the issues that are causing you the most distress you can never have too many issues to address in counseling all of the issues you mention above can be successfully worked through in counseling,Depression
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years ive never had counseling about any of this do i have too many issues to address in counseling,ive never heard of someone having too many issues for therapy to be effective a competent therapist will assist you in identifying the root causes of your problems and treat those first if the underlying issues are addressed your various symptoms should improve for example a history of sexual trauma can cause sleep disturbances depression anxiety and low selfworth i would start by addressing the underlying trauma using emdr therapy emdr allows the client to process unresolved trauma and to address negative core beliefs that develop in response to the trauma by addressing these negative beliefs about ourselves we can improve our selfesteem and feelings of selfworth,Depression
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years ive never had counseling about any of this do i have too many issues to address in counseling,absolutely not i strongly recommending working on one issueneed at a time in therapy you will set smart goals and objectives that will help you reach your goals i see you as a survivor and not a victim best wishes to you,Depression
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years ive never had counseling about any of this do i have too many issues to address in counseling,let me start by saying there are never too many concerns that you can bring into counselling in fact most people who come to see me for counselling have more than one issue they would like to work on in psychotherapy and most times these are all interconnected in counselling we work together collaboratively to figure out which issues you would like to address first and then together we develop an individualized plan of care basically its like a road map of where you want to go how are you going to get there looking at stopovers some scenic routes others possibly not so scenic however necessary of course these plans can also change due to internal what we have control over like our thoughts feelings and behaviours or external reasons those things that are outside our control i would encourage you to take the next step and reach out to a professional you can trust and build rapport with by cojourneying through whatever concerns you have by examining what has been working so far as you have learned to cope with some of your issues like insomnia depression and anxiety as well as being a breast cancer survivor then to help you by developing new coping strategies psychotherapy can be such a powerful tool to help you get to where it is you want to be i know you can do it and you will see firsthand how psychotherapy will help you to move past these points in your life where you are feeling stuck i like to quote nike where their motto is just do it you can do it,Depression
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years ive never had counseling about any of this do i have too many issues to address in counseling,i just want to acknowledge you for the courage to take the step to get support it can be overwhelming to have so many things going on and it might be hard to figure out where to start i truly believe that one of the biggest advantages to working with a therapist is that a therapist can help you prioritize and work with those issues that need to be addressed first and foremost a therapist will help you with the flow of dealing with different aspects that come up some issues may even be related to one another for examples some clients with depression may also feel anxiety about their depression also rest assured many clients go to therapy for multiple issues we are complex beings i encourage you to reach out to a therapist and talk about this concern you may find out that even upon the first meeting you will feel hopeful that you will be able to create a plan with a therapist to address your issues i dont believe you have too many issues i think starting sooner rather than later will put you on the path to healing good luck i am rooting for you,Depression
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years ive never had counseling about any of this do i have too many issues to address in counseling,its not really a question of whether you have too many issues for counseling but more what would you like to work on in counseling you control the direction of sessions and depending on how youre feeling in a particular day can predict what direction that session takes if you want to work on all the issues youve listed it will just take some dedication on your part to see through the counseling long enough to find a resolution to each of the issues that is satisfactory to you you work at your own pace in counseling and it does seem like you may be overwhelmed with the evergrowing list but you may just be in search of self improvement and making yourself better which is a great thing it seems as though you may need some form of resolution to what has happened in the past and to work through the trauma you have experienced that may be the base of your counseling needs in which self esteem and depressionanxiety may fall underneath it as well if you want to start counseling dont let what you need to work on overwhelm you find the counselor that best fits with you and together you both can tackle any issue,Depression
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years ive never had counseling about any of this do i have too many issues to address in counseling,there is no such thing as too much start where youre at today and move forward or backwards to figure out the rest you dont need to be anything less or more than you are right now it may be a longer journey but its one that can ideally lead to healing i hope that happens for you,Depression
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years ive never had counseling about any of this do i have too many issues to address in counseling,the most direct answer is no i would venture to guess that several of the things you are feeling symptoms are connected i would recommend a trauma counselor you have several strengths resources that you are able to pull from and i would encourage you to focus on them as you deal with the issues you have placed on the back burner for so long sometimes people are afraid to address things because they feel or believe that they wont be able to handle it compare it to a tornado the storm has passed but you are still in hiding for fear of the aftermath the mess left behind a good therapist is like a personal organizer to help you,Depression
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years ive never had counseling about any of this do i have too many issues to address in counseling,it is never too late to get help and begin making significant changes and improvements in your life the right time is when you feel ready and open to change sometimes when we have a history of trauma like sexual abuse the impact of that trauma can affect many areas of our lives as adults working with a therapist who specializes in trauma is a great way to begin developing skills to manage present day life learn to regulate your emotions and nervous system when you become triggered and then in a safe environment have the opportunity to process past traumas so you can live your present life with more ease and joy people can and do recover from the impacts of trauma at any stage in their life it is never too late and you can feel better,Depression
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years ive never had counseling about any of this do i have too many issues to address in counseling,you have been through so much and it sounds like you have a lot of things that have complied over the years regardless of the struggles you have been through you do not have too many issues for counseling many times when someone starts out their counseling and healing journey there are multiple things they would like to address and work on if you decide to start counseling you and your therapist can decide collaboratively what you would like to process and work on first be sure to express to your counselor if any of the above experiences youve been through is causing a lot of distress  as many times the first things addressed are the ones that are presently affecting your life or you emotionally often times when we experience negative situations in our life  but do not address them they bottle up inside us and can manifest in other ways such as depression or even physical symptoms like ibs or neck pain counseling can give these bottled up emotions and situations a release given the situation you shared not only do i not think that you have too many issues for counseling but believe that you will be a great candidate and can get a lot from it,Depression
