marathi_question,marathi_answer,category
माझ्याकडे लैंगिक अत्याचाराचा इतिहास आहे यावर माझे बरेच प्रश्न आहेत मी स्तनाचा कर्करोग वाचलेला आहे आणि मी एक आजीवन निद्रानाश आहे आणि मला नैराश्याचा दीर्घ इतिहास आहे आणि मला चिंता वाटू लागली आहे की मला कमी आत्मविश्वास आहे परंतु मी जवळजवळ वर्षांपासून आनंदाने लग्न केले आहे की मी यापैकी कोणत्याही गोष्टीबद्दल समुपदेशन केले नाही.,लोकांनी असा प्रश्न विचारला आहे की त्यांना समुपदेशनात लक्ष देणे आवश्यक आहे आणि त्याकडे लक्ष देणे आवश्यक आहे की ग्राहकांनी हा प्रश्न विचारला आहे आणि अधिक अन्वेषणातून बहुतेकदा त्यांना मदत केली जाऊ शकत नाही किंवा त्यांच्या थेरपिस्टसाठी ते जास्त असतील हे मला ठाऊक नाही की बहुतेक लोकांनी त्यांच्या आयुष्यात बरेच काही केले आहे आणि बहुतेक लोक त्यांच्या आयुष्यातल्या लोकांपेक्षा जास्त आहेत आणि त्यांच्या आयुष्यातल्या लोकांमुळे बरेच काही आहे आणि लोकांचे जीवन आहे आणि त्यांच्या आयुष्यात बरेच काही आहे आणि लोकांचे आयुष्य असेच आहे की लोकांचे जीवन आहे आणि बहुतेक लोकांचे जीवन आहे आणि त्यांच्या आयुष्यात बरेच काही आहे की नाही आणि बर्‍याचदा लोकांचे जीवन आहे आणि त्यांच्या आयुष्यात बरेच काही आहे की नाही आणि बहुतेक लोकांनी त्यांच्या आयुष्यात जास्तीत जास्त त्रास होऊ नये आणि बहुतेक लोक त्यांच्या आयुष्यात बरेच काही आहेत की नाही हे मला माहित नाही.पहिल्या दोन सत्रांमधून क्लायंट बहुतेक थेरपिस्ट सत्रात सादर करतो त्या छोट्या किंवा मोठ्या समस्यांमुळे आपण ज्या समस्यांना सामोरे जात आहात त्या समस्यांना प्राधान्य देण्यास मदत करेल जेणेकरून आपण वर नमूद केलेल्या सर्व मुद्द्यांकडे लक्ष वेधण्यासाठी आपल्याला सर्वात जास्त त्रास होऊ शकत नाही अशा समस्यांकडे लक्ष देणे सुरू करा.,Depression
माझ्याकडे लैंगिक अत्याचाराचा इतिहास आहे यावर माझे बरेच प्रश्न आहेत मी स्तनाचा कर्करोग वाचलेला आहे आणि मी एक आजीवन निद्रानाश आहे आणि मला नैराश्याचा दीर्घ इतिहास आहे आणि मला चिंता वाटू लागली आहे की मला कमी आत्मविश्वास आहे परंतु मी जवळजवळ वर्षांपासून आनंदाने लग्न केले आहे की मी यापैकी कोणत्याही गोष्टीबद्दल समुपदेशन केले नाही.,"एक सक्षम थेरपिस्ट आपल्या समस्येची मूळ कारणे ओळखण्यास मदत करेल आणि आपल्या समस्येवर लक्ष केंद्रित केल्यास आपल्या विविध लक्षणांकडे लक्ष वेधले गेले असेल तर लैंगिक आघात उदासीनतेमुळे उद्भवू शकते आणि कमी सेल्फवर्थ मी नकारात्मकतेचा उपयोग करून, एम्डर थेरपीसचा वापर करून प्रारंभ करू शकतो, असे एखाद्या व्यक्तीस आपल्या समस्येची मूळ कारणे ओळखण्यात मदत करेल आणि त्यापेक्षा प्रथम उपचार करण्यात मला मदत होईल अशा एखाद्या व्यक्तीस थेरपीसाठी बरेच मुद्दे आहेत याबद्दल मी कधीही ऐकले नाही.स्वतःबद्दल या नकारात्मक श्रद्धा दूर करून आघातास प्रतिसाद आम्ही आपला आत्मविश्वास आणि सेल्फवर्थच्या भावना सुधारू शकतो",Depression
माझ्याकडे लैंगिक अत्याचाराचा इतिहास आहे यावर माझे बरेच प्रश्न आहेत मी स्तनाचा कर्करोग वाचलेला आहे आणि मी एक आजीवन निद्रानाश आहे आणि मला नैराश्याचा दीर्घ इतिहास आहे आणि मला चिंता वाटू लागली आहे की मला कमी आत्मविश्वास आहे परंतु मी जवळजवळ वर्षांपासून आनंदाने लग्न केले आहे की मी यापैकी कोणत्याही गोष्टीबद्दल समुपदेशन केले नाही.,पूर्णपणे नाही मी थेरपीच्या वेळी एका वेळी जारी केलेल्या एका गोष्टीवर काम करण्याची शिफारस करतो आपण स्मार्ट उद्दीष्टे आणि उद्दीष्टे निश्चित कराल जे आपल्या उद्दीष्टांपर्यंत पोहोचण्यास मदत करतील मी तुम्हाला वाचलेले म्हणून पाहतो आणि बळी पडलेल्या शुभेच्छा तुम्हाला शुभेच्छा देतो.,Depression
माझ्याकडे लैंगिक अत्याचाराचा इतिहास आहे यावर माझे बरेच प्रश्न आहेत मी स्तनाचा कर्करोग वाचलेला आहे आणि मी एक आजीवन निद्रानाश आहे आणि मला नैराश्याचा दीर्घ इतिहास आहे आणि मला चिंता वाटू लागली आहे की मला कमी आत्मविश्वास आहे परंतु मी जवळजवळ वर्षांपासून आनंदाने लग्न केले आहे की मी यापैकी कोणत्याही गोष्टीबद्दल समुपदेशन केले नाही.,"मी सुरुवातीला असे म्हणेन की समुपदेशनात तुम्ही कधीही जास्त चिंता आणू शकत नाही. खरं तर, माझ्याकडे समुपदेशनासाठी येणाऱ्या बहुतेक लोकांना मानसोपचारात एकापेक्षा जास्त समस्या असतात ज्यांवर त्यांना काम करायचे असते आणि बहुतेक वेळा हे सर्व समुपदेशनात एकमेकांशी जोडलेले असतात. आम्ही एकत्रितपणे काम करतो आणि तुम्हाला प्रथम कोणत्या समस्या सोडवायच्या आहेत हे शोधतो आणि नंतर एकत्रितपणे आम्ही वैयक्तिकृत काळजी योजना विकसित करतो. हे मुळात तुम्हाला कुठे जायचे आहे याचा रोड मॅप आहे. तुम्ही तिथे कसे पोहोचणार आहात? थांबे पाहणे, काही निसर्गरम्य मार्ग, इतर, कदाचित इतके निसर्गरम्य नसले तरी आवश्यक आहे. अर्थातच या योजना अंतर्गत कारणांमुळे देखील बदलू शकतात ज्यावर आपण नियंत्रण ठेवतो जसे की आपले विचार, भावना आणि वर्तन किंवा बाह्य कारणे ज्या आपल्या नियंत्रणाबाहेर आहेत. मी तुम्हाला पुढील पाऊल उचलण्यास आणि अशा व्यावसायिकाशी संपर्क साधण्यास प्रोत्साहित करेन ज्यावर तुम्ही विश्वास ठेवू शकता आणि निद्रानाश, नैराश्य आणि चिंता यासारख्या तुमच्या काही समस्यांना तोंड देण्यास शिकला आहात आणि स्तनाच्या कर्करोगाने वाचलेले आहात, तुमच्या कोणत्याही चिंतांबद्दल सह-प्रवास करून संबंध निर्माण करण्यास प्रोत्साहित करेन. नवीन कोपिंग रणनीती विकसित. आपल्याला मदत करण्यासाठी मनोचिकित्सा हे एक शक्तिशाली साधन असू शकते आपण तेथे आपल्याला मदत करू इच्छितो हे मला माहीत आहे आणि आपण पाहू शकता की मनोचिकित्सा आपल्याला आपल्या जीवनात किंवा आपणास मदत करू शकत नाही. आपण हे करू शकता",Depression
माझ्याकडे लैंगिक अत्याचाराचा इतिहास आहे यावर माझे बरेच प्रश्न आहेत मी स्तनाचा कर्करोग वाचलेला आहे आणि मी एक आजीवन निद्रानाश आहे आणि मला नैराश्याचा दीर्घ इतिहास आहे आणि मला चिंता वाटू लागली आहे की मला कमी आत्मविश्वास आहे परंतु मी जवळजवळ वर्षांपासून आनंदाने लग्न केले आहे की मी यापैकी कोणत्याही गोष्टीबद्दल समुपदेशन केले नाही.,समर्थन मिळविण्यासाठी पाऊल उचलण्याच्या धैर्याबद्दल मला फक्त कबूल करायचं आहे की बर्‍याच गोष्टी घडल्या पाहिजेत आणि कोठे सुरू करावे हे समजणे कठीण आहे की मला खरोखर असा विश्वास आहे की एखाद्या थेरपिस्टबरोबर काम करण्याचा सर्वात मोठा फायदा म्हणजे एखाद्या व्यक्तीला प्राधान्य दिले जाऊ शकते आणि त्या समस्येसंदर्भात आपली मदत करावी लागेल ज्यामुळे एखाद्या थेरपिस्टला मदत होईल आणि त्या समस्येस मदत होईल की एखाद्या थेरपिस्टला मदत केली जाईल.नैराश्याने ग्रस्त असलेल्या काही ग्राहकांना त्यांच्या नैराश्याबद्दल चिंता वाटू शकते की बर्‍याच ग्राहकांना एकाधिक मुद्द्यांकरिता थेरपीमध्ये जाण्याची खात्री आहे की आम्ही जटिल प्राणी आहोत मी तुम्हाला थेरपिस्टपर्यंत पोहोचण्यासाठी प्रोत्साहित करतो आणि या चिंतेबद्दल बोलतो की आपण प्रथम भेटलो की मी आपल्या समस्येवर विचार करू शकत नाही की मी खूप चांगले विचार करू शकत नाही की आपण खूप चांगले विचार केला आहे की आपण खूप चांगले विचार केला आहे की आपण खूप चांगले विचार केला आहे की आपण खूप चांगले विचार केला आहे की आपण खूप चांगले विचार केला आहे की आपण खूप चांगले विचार केला आहे की आपण खूप चांगले विचार केला आहे की आपण खूप चांगले विचार केला आहे की आपण खूप चांगले विचार केला आहे की आपण चांगले विचार केला आहे की आपण चांगले विचार केला आहे की आपण खूप चांगले विचार केला आहे.,Depression
माझ्याकडे लैंगिक अत्याचाराचा इतिहास आहे यावर माझे बरेच प्रश्न आहेत मी स्तनाचा कर्करोग वाचलेला आहे आणि मी एक आजीवन निद्रानाश आहे आणि मला नैराश्याचा दीर्घ इतिहास आहे आणि मला चिंता वाटू लागली आहे की मला कमी आत्मविश्वास आहे परंतु मी जवळजवळ वर्षांपासून आनंदाने लग्न केले आहे की मी यापैकी कोणत्याही गोष्टीबद्दल समुपदेशन केले नाही.,"आपल्याकडे समुपदेशनासाठी बरेच मुद्दे आहेत की नाही हा खरोखर प्रश्न नाही परंतु आपण समुपदेशनात काय कार्य करू इच्छिता सत्राची दिशा नियंत्रित करणे आणि एखाद्या विशिष्ट दिवसात आपल्याला असे वाटते की आपण सूचीबद्ध केलेल्या सर्व मुद्द्यांवर कार्य करू इच्छित असल्यास त्या प्रत्येक समस्येवर आपण काही समर्पित केले असेल तर त्या प्रत्येक समस्येचे निराकरण केले तर त्या सत्रात आपण कोणत्या दिशेने कार्य केले असेल तर त्या सत्रात आपण काही समर्पित केले आहे.आपण कदाचित सदैव यादीमध्ये भारावून जाऊ शकता परंतु आपण कदाचित स्वत: ची सुधारणा शोधू शकता आणि स्वत: ला अधिक चांगले बनवू शकता जे एक मोठी गोष्ट आहे असे दिसते की भूतकाळात घडलेल्या गोष्टींबद्दल आपल्याला काही प्रकार आवश्यक असू शकतात आणि आपल्या समुपदेशनाची गरज भासू शकेल ज्यायोगे आपण ज्याचा समुपदेशन केला पाहिजे आणि त्याद्वारे आपण ज्या समुपदेशनाची गरज भासू शकता, ज्यायोगे आपण अधिक कार्य करू शकता आणि कदाचित त्याहून अधिक काम करणे आवश्यक असेल तर कदाचित आपण ज्या समुपदेशनाची गरज भासू शकता, ज्याचा आपण समुपदेशन करणे आवश्यक आहे आणि कदाचित त्याहून अधिक काम करणे आवश्यक आहे की आपण ज्याचा समुपदेशन करणे आवश्यक आहे आणि कदाचित आपण ज्या गोष्टीचा समुपदेशन केला असेल तर त्याहून कमी पडता येईल.हे आपल्याशी सर्वोत्तम बसते आणि आपण दोघेही कोणत्याही समस्येचा सामना करू शकता",Depression
माझ्याकडे लैंगिक अत्याचाराचा इतिहास आहे यावर माझे बरेच प्रश्न आहेत मी स्तनाचा कर्करोग वाचलेला आहे आणि मी एक आजीवन निद्रानाश आहे आणि मला नैराश्याचा दीर्घ इतिहास आहे आणि मला चिंता वाटू लागली आहे की मला कमी आत्मविश्वास आहे परंतु मी जवळजवळ वर्षांपासून आनंदाने लग्न केले आहे की मी यापैकी कोणत्याही गोष्टीबद्दल समुपदेशन केले नाही.,"आज आपण जिथे आहात तेथे बरेच काही नाही आणि बाकीचे शोधण्यासाठी आपण पुढे किंवा मागे जाल तर आपण आत्ताच आहात त्यापेक्षा कमी किंवा जास्त असणे आवश्यक नाही, हा एक लांब प्रवास असू शकतो परंतु तो एक चांगला मार्ग असू शकतो ज्यामुळे मला आशा आहे की आपल्यासाठी असे होईल.",Depression
माझ्याकडे लैंगिक अत्याचाराचा इतिहास आहे यावर माझे बरेच प्रश्न आहेत मी स्तनाचा कर्करोग वाचलेला आहे आणि मी एक आजीवन निद्रानाश आहे आणि मला नैराश्याचा दीर्घ इतिहास आहे आणि मला चिंता वाटू लागली आहे की मला कमी आत्मविश्वास आहे परंतु मी जवळजवळ वर्षांपासून आनंदाने लग्न केले आहे की मी यापैकी कोणत्याही गोष्टीबद्दल समुपदेशन केले नाही.,"सर्वात थेट उत्तर नाही आहे, मी असा अंदाज लावण्याचे धाडस करेन की तुम्हाला ज्या अनेक गोष्टींची लक्षणे जाणवत आहेत त्यापैकी काही गोष्टी एकमेकांशी जोडल्या गेल्या आहेत. मी ट्रॉमा कौन्सिलरची शिफारस करेन, तुमच्याकडे अनेक ताकदीचे स्रोत आहेत ज्यातून तुम्ही फायदा घेऊ शकता आणि मी तुम्हाला प्रोत्साहित करेन की तुम्ही इतके दिवस ज्या समस्यांना तोंड देत आहात त्यावर लक्ष केंद्रित करा. कधीकधी लोक गोष्टींकडे लक्ष देण्यास घाबरतात कारण त्यांना वाटते किंवा त्यांना वाटते की ते ते हाताळू शकणार नाहीत, वादळ गेलेल्या वादळाशी तुलना करा परंतु तुम्ही अजूनही भीतीने लपून बसता. त्यांच्यानंतरच्या गोंधळामुळे तुमच्या तोंडाला एक चांगला थेरपिस्ट मदत करण्यासाठी वैयक्तिक संयुक्तकांसारखा आहे.",Depression
माझ्याकडे लैंगिक अत्याचाराचा इतिहास आहे यावर माझे बरेच प्रश्न आहेत मी स्तनाचा कर्करोग वाचलेला आहे आणि मी एक आजीवन निद्रानाश आहे आणि मला नैराश्याचा दीर्घ इतिहास आहे आणि मला चिंता वाटू लागली आहे की मला कमी आत्मविश्वास आहे परंतु मी जवळजवळ वर्षांपासून आनंदाने लग्न केले आहे की मी यापैकी कोणत्याही गोष्टीबद्दल समुपदेशन केले नाही.,मदत मिळविण्यासाठी आणि आपल्या जीवनात महत्त्वपूर्ण बदल आणि सुधारणा करण्यास सुरुवात करण्यास कधीही उशीर झालेला नाही ही योग्य वेळ आहे जेव्हा आपण तयार आहात आणि बदलण्यास तयार आहात कधीकधी जेव्हा आपल्याला लैंगिक शोषणासारख्या आघातांचा इतिहास असतो तेव्हा त्या आघाताचा परिणाम आपल्या जीवनातील अनेक क्षेत्रांवर परिणाम करू शकतो कारण प्रौढ व्यक्ती आघातात तज्ञ असलेल्या थेरपिस्टसोबत काम करत आहे आणि सध्याचे जीवन व्यवस्थापित करण्यासाठी कौशल्य विकसित करण्याचा एक उत्तम मार्ग आहे मग सुरक्षित वातावरणात भूतकाळातील आघातावर प्रक्रिया करण्याची संधी मिळते म्हणून आपण आपले सध्याचे जीवन अधिक सहजतेने आनंदाने आणि आनंदाने जगू शकता आणि लोक त्यांच्या जीवनातील कोणत्याही प्रकारचा आघात होऊ शकतात. आपण आणि आपण बरे वाटू शकता,Depression
माझ्याकडे लैंगिक अत्याचाराचा इतिहास आहे यावर माझे बरेच प्रश्न आहेत मी स्तनाचा कर्करोग वाचलेला आहे आणि मी एक आजीवन निद्रानाश आहे आणि मला नैराश्याचा दीर्घ इतिहास आहे आणि मला चिंता वाटू लागली आहे की मला कमी आत्मविश्वास आहे परंतु मी जवळजवळ वर्षांपासून आनंदाने लग्न केले आहे की मी यापैकी कोणत्याही गोष्टीबद्दल समुपदेशन केले नाही.,आपण बरेच काही केले आहे आणि असे वाटते की आपल्याकडे बर्‍याच गोष्टी आहेत ज्यांनी आपण ज्या संघर्षांद्वारे केले आहे त्याकडे दुर्लक्ष करून आपण बर्‍याच वेळा समुपदेशनासाठी बरेच काही केले नाहीत जेव्हा एखाद्याने त्यांचे समुपदेशन आणि उपचार हा प्रवास करण्यास सुरवात केली आहे की आपण समुपदेशन करणे आवश्यक आहे आणि आपण जे काही केले आहे की आपण जे काही केले आहे की आपण कार्य केले आहे की आपण कार्य केले तर आपण जे कार्य केले असेल तर आपण कार्य केले आहे की आपण जे काही केले आहे की आपण जे काही कार्य केले आहे की आपण कार्य केले आहे की आपण जे काही कार्य केले आहे की आपण कार्य केले आहे की आपण जे काही कार्य केले आहे की आपण कार्य केले आहे की आपण कार्य केले तर आपण जे काही कार्य केले असेल तर आपण जे कार्य केले आहे की आपण कार्य केले आहे की आपण कार्य केले तर आपण जे कार्य केले असेल तर आपण जे कार्य केले असेल तर आपण जे कार्य केले असेल तर आपण कार्य केले आहे की आपण कार्य केले तर आपण कार्य केले आहे की आपण कार्य केले तर आपण कार्य केले असेल तर आपण कार्य केले असेल तर आपण कार्य केले असेल तर आपण कार्य केले असेल तर आपण कार्य केले असेल तर कार्य करणे आवश्यक आहे.बर्‍याच वेळा बर्‍याच वेळा बर्‍याच वेळा असे घडवून आणले आहे की ज्या गोष्टी सध्या आपल्या जीवनावर परिणाम करीत आहेत किंवा आपण बर्‍याच वेळा भावनिकदृष्ट्या जेव्हा आपल्या जीवनात नकारात्मक परिस्थिती अनुभवत नाही परंतु त्यांच्याकडे लक्ष देत नाही की ते आपल्यात बाटली लावू शकतात आणि इतर मार्गांनी प्रकट होऊ शकतात की आपण या बाटली नसलेल्या गोष्टींचा विचार करू शकत नाही की आपण या गोष्टींचा विचार करू शकत नाही की आपण या गोष्टींचा विचार करू शकत नाही की आपण या गोष्टींचा विचार करू शकत नाही की आपण या गोष्टींचा विचार करू शकत नाही की आपण या गोष्टींचा विचार करू शकत नाही की आपण या गोष्टींचा विचार करू शकत नाही की आपण या गोष्टींचा विचार करू शकत नाही की आपण या गोष्टींचा विचार करू शकत नाही की आपण या गोष्टींचा विचार करू शकत नाही की आपण या गोष्टी सोडल्या नाहीत.एक चांगला उमेदवार असेल आणि त्यातून बरेच काही मिळू शकेल,Depression
